name;device;channel;description;controller;xAddress;xStatusAddress;log;daliGroup
STM2-DALI-DER-1CA-G0;SOS_C1;M1AO0;STM2-DALI-DER-1CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18500;300;false;0
STM2-DALI-DER-1CA-G1;SOS_C1;M1AO1;STM2-DALI-DER-1CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18501;301;false;1
STM2-DALI-DER-2CA-G0;SOS_C1;M1AO2;STM2-DALI-DER-2CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18502;302;false;0
STM2-DALI-DER-2CA-G1;SOS_C1;M1AO3;STM2-DALI-DER-2CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18503;303;false;1
STM2-DALI-DER-3CA-G0;SOS_C3;M1AO0;STM2-DALI-DER-3CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18504;304;false;0
STM2-DALI-DER-3CA-G1;SOS_C3;M1AO1;STM2-DALI-DER-3CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18505;305;false;1
STM2-DALI-IZQ-3MA-G0;Rack_Exterior;M1AO0;STM2-DALI-IZQ-3MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18506;306;false;0
STM2-DALI-IZQ-3MA-G1;Rack_Exterior;M1AO1;STM2-DALI-IZQ-3MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18507;307;false;1
STM2-DALI-IZQ-1CA-G0;Rack_Exterior;M1AO2;STM2-DALI-IZQ-1CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18508;308;false;0
STM2-DALI-IZQ-1CA-G1;Rack_Exterior;M1AO3;STM2-DALI-IZQ-1CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18509;309;false;1
STM2-DALI-IZQ-2CA-G0;ARM_GAL;M1AO0;STM2-DALI-IZQ-2CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18510;310;false;0
STM2-DALI-IZQ-2CA-G1;ARM_GAL;M1AO1;STM2-DALI-IZQ-2CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18511;311;false;1
STM2-DALI-IZQ-2MA-G0;ARM_GAL;M1AO2;STM2-DALI-IZQ-2MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18512;312;false;0
STM2-DALI-IZQ-2MA-G1;ARM_GAL;M1AO3;STM2-DALI-IZQ-2MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18513;313;false;1
STM2-DALI-IZQ-1MA-G0;CT_ITS;M1AO0;STM2-DALI-IZQ-1MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18514;314;false;0
STM2-DALI-IZQ-1MA-G1;CT_ITS;M1AO1;STM2-DALI-IZQ-1MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18515;315;false;1
STM2-DALI-IZQ-3CA-G0;CT_ITS;M1AO2;STM2-DALI-IZQ-3CA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18516;316;false;0
STM2-DALI-IZQ-3CA-G1;CT_ITS;M1AO3;STM2-DALI-IZQ-3CA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18517;317;false;1
STM2-DALI-DER-1MA-G0;SOS_M1;M1AO0;STM2-DALI-DER-1MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18518;318;false;0
STM2-DALI-DER-1MA-G1;SOS_M1;M1AO1;STM2-DALI-DER-1MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18519;319;false;1
STM2-DALI-DER-2MA-G0;SOS_M2;M1AO0;STM2-DALI-DER-2MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18520;320;false;0
STM2-DALI-DER-2MA-G1;SOS_M2;M1AO1;STM2-DALI-DER-2MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18521;321;false;1
STM2-DALI-DER-3MA-G0;SOS_M3;M1AO0;STM2-DALI-DER-3MA-G0 Dimming GRUPO 0 PERMANENTE;WAGO;18522;322;false;0
STM2-DALI-DER-3MA-G1;SOS_M3;M1AO1;STM2-DALI-DER-3MA-G1 Dimming GRUPO 1 REFUERZO;WAGO;18523;323;false;1
