item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;on_change_alarm;param1_brand;param2_model;param3_stream_mjpeg;param6_preset;param7_features;param9_onvif_hostname;param10_onvif_username;param11_onvif_password;param12_onvif_ptz_params;sentido;data_proxy
1;3;S1TN-DOM-005;S1TN-DOM-005;S1TN-DOM-005;AVO;S1TN_EXT;Secc.01-11-13;36+31;10;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TN-DOM-005;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.3.8;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.3.8/snap.jpg?JpegCam=1
2;3;IVEN-DOM-001;IVEN-DOM-001;IVEN-DOM-001;AVO;IVEN_EXT;Secc.01-09-15;35+36;2000;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/IVEN-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.21.1;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.21.1/snap.jpg?JpegCam=1
3;3;ICEP-DOM-001;ICEP-DOM-001;ICEP-DOM-001;AVO;ICEP_EXT;Secc.01-21-15;0+08;80;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/ICEP-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.21.4;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.21.4/snap.jpg?JpegCam=1
4;3;S1TS-DOM-010;S1TS-DOM-010;S1TS-DOM-010;AVO;S1TS-ZON-020;Secc.01-10-14;36+43;125;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/S1TS-DOM-010;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.4.14;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.4.14/snap.jpg?JpegCam=1
5;1;SCNO-CAM-002;SCNO-CAM-002;SCNO-CAM-002;AVO;SCNO-ZON-001;Secc.01-25-01;0+13;130;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-002;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.1.7/snap.jpg?JpegCam=1
6;3;ICEO-DOM-001;ICEO-DOM-001;ICEO-DOM-001;AVO;ICEO_EXT;Secc.01-19-15;1+14;1140;SendDAIAlarm.groovy;Bosch;NDP-7512-Z30;http://10.133.50.38/ICEO-DOM-001;[{"id": 1,"alias": "Preset 1","description": "Panorámica hacia el Sur","default": true},{"id": 2,"alias": "Preset 2","description": "Panorámica hacia el Norte","default": false},{"id": 3,"alias": "Preset 3","description": "Boca de túnel sin zoom","default": false},{"id": 4,"alias": "Preset 4","description": "SOS exterior","default": false},{"id": 5,"alias": "Preset 5","description": "Puerta SE","default": false}];PTZ;10.50.21.3;ITS_Admin;VO1-cam22.;{"up":0.02,"down":-0.02,"right":0.02,"left":-0.02,"zoom_in":0.02,"zoom_out":-0.02};;http://ITS_Admin:VO1-cam22.@10.50.21.3/snap.jpg?JpegCam=1
7;1;SAEB-CAM-001;SAEB-CAM-001;SAEB-CAM-001;AVO;SAEB-ZON-001;Secc.01-86-02;0+17;165;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-001;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.15/snap.jpg?JpegCam=1
8;1;SAEB-CAM-002;SAEB-CAM-002;SAEB-CAM-002;AVO;SAEB-ZON-002;Secc.01-86-02;0+21;210;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-002;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.16/snap.jpg?JpegCam=1
9;1;SCNO-CAM-003;SCNO-CAM-003;SCNO-CAM-003;AVO;SCNO-ZON-002;Secc.01-25-01;0+24;240;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SCNO-CAM-003;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.2.11/snap.jpg?JpegCam=1
10;1;SAEB-CAM-003;SAEB-CAM-003;SAEB-CAM-003;AVO;SAEB-ZON-002;Secc.01-86-02;0+25;250;SendDAIAlarm.groovy;Bosch;NBE-5503-AL;http://10.133.50.38/SAEB-CAM-003;;;;;;;;http://ITS_Admin:VO1-cam22.@10.50.4.17/snap.jpg?JpegCam=1
