device_name;source_name;ip;measure_port(i);port(i);url_publisher;offset_state_cmd(i);offset_state(i)
HOSP-ILUM-L1-P1;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8250;6190
HOSP-ILUM-L1-P2;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8251;6191
HOSP-ILUM-L1-P3;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8252;6192
HOSP-ILUM-L1-P4;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8253;6193
HOSP-ILUM-L1-P5;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8254;6194
HOSP-ILUM-L1-P6;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8255;6195
HOSP-ILUM-L1-P7;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8256;6196
HOSP-ILUM-L1-P8;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8257;6197
HOSP-ILUM-L1-P9;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8258;6198
HOSP-ILUM-L2-P1;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8259;6199
HOSP-ILUM-L2-P2;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8260;6200
HOSP-ILUM-L2-P3;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8261;6201
HOSP-ILUM-L2-P4;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8262;6202
HOSP-ILUM-L2-P5;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8263;6203
HOSP-ILUM-L2-P6;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8264;6204
HOSP-ILUM-L2-P7;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8265;6205
HOSP-ILUM-L3-P1;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8266;6206
HOSP-ILUM-L3-P2;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8267;6207
HOSP-ILUM-L3-P3;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8268;6208
HOSP-ILUM-L3-P4;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8269;6209
HOSP-ILUM-L3-P5;CIRCUITOS_ELECTRICOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;8270;6210
